[CORESWAP] dll=E:\PYTHON\CoreSwap\versions\1.20.1\cpp\build-msvc\bin\block_probe.exe size=370688
[CORESWAP] crash handler installed
blocks file: magic=0x57474232 seed=-8248318472910187742 size=4 origin=(-288,-256) minY=-64 height=384
[COMP] fluid_level_floodedness -28 0.011516
[COMP] fluid_level_floodedness -24 0.013477
[COMP] fluid_level_floodedness -20 0.014960
[COMP] fluid_level_floodedness -16 0.015918
[COMP] fluid_level_floodedness -12 0.016302
[COMP] fluid_level_floodedness -8 0.016064
[COMP] fluid_level_floodedness -4 0.015163
[COMP] fluid_level_floodedness 0 0.013561
[COMP] fluid_level_floodedness 4 0.011225
[COMP] fluid_level_floodedness 8 0.008131
[COMP] fluid_level_floodedness 12 0.004264
[COMP] fluid_level_floodedness 16 -0.000382
[COMP] fluid_level_floodedness 20 -0.005805
[COMP] fluid_level_floodedness 24 -0.011990
[COMP] fluid_level_floodedness 28 -0.018915
[COMP] fluid_level_floodedness 32 -0.026544
[COMP] fluid_level_floodedness 36 -0.034832
[COMP] fluid_level_floodedness 40 -0.043724
[COMP] fluid_level_floodedness 44 -0.053154
[COMP] fluid_level_floodedness 48 -0.063049
[COMP] fluid_level_floodedness 52 -0.073326
[COMP] fluid_level_floodedness 56 -0.083895
[COMP] fluid_level_floodedness 60 -0.094660
[COMP] fluid_level_floodedness 64 -0.105518
[COMP] fluid_level_floodedness 68 -0.116367
[COMP] fluid_level_floodedness 72 -0.127099
[COMP] fluid_level_floodedness 76 -0.137609
[COMP] fluid_level_floodedness 80 -0.147791
[COMP] fluid_level_floodedness 84 -0.157547
[COMP] fluid_level_floodedness 88 -0.166783
[COMP] fluid_level_floodedness 92 -0.175416
[COMP] fluid_level_floodedness 96 -0.183373
[COMP] fluid_level_floodedness 100 -0.190598
[COMP] fluid_level_floodedness 104 -0.197051
[COMP] fluid_level_floodedness 108 -0.202715
[COMP] fluid_level_floodedness 112 -0.207597
[COMP] fluid_level_floodedness 116 -0.211731
[COMP] fluid_level_floodedness 120 -0.215184
[COMP] fluid_level_floodedness 124 -0.218059
[COMP] fluid_level_floodedness 128 -0.220501
[COMP] fluid_level_floodedness 132 -0.222695
[COMP] fluid_level_floodedness 136 -0.224768
[COMP] fluid_level_floodedness 140 -0.226191
[COMP] fluid_level_floodedness 144 -0.226262
[COMP] fluid_level_floodedness 148 -0.224408
[COMP] fluid_level_floodedness 152 -0.220179
[COMP] fluid_level_floodedness 156 -0.213231
[COMP] fluid_level_floodedness 160 -0.203326
[COMP] fluid_level_floodedness 164 -0.190317
[COMP] fluid_level_floodedness 168 -0.174143
[COMP] fluid_level_floodedness 172 -0.154817
[COMP] fluid_level_floodedness 176 -0.132421
[COMP] fluid_level_floodedness 180 -0.107097
[COMP] fluid_level_floodedness 184 -0.079039
[COMP] fluid_level_floodedness 188 -0.048489
[COMP] fluid_level_floodedness 192 -0.015723
[COMP] fluid_level_floodedness 196 0.018946
[COMP] fluid_level_floodedness 200 0.055184
[COMP] fluid_level_floodedness 204 0.092633
[COMP] fluid_level_floodedness 208 0.130925
[COMP] fluid_level_floodedness 212 0.169682
[COMP] fluid_level_floodedness 216 0.208523
[COMP] fluid_level_floodedness 220 0.247069
[COMP] fluid_level_floodedness 224 0.284950
[COMP] fluid_level_floodedness 228 0.321803
[COMP] fluid_level_floodedness 232 0.357282
[COMP] fluid_level_floodedness 236 0.391061
[COMP] fluid_level_floodedness 240 0.422835
[COMP] fluid_level_floodedness 244 0.452326
[COMP] fluid_level_floodedness 248 0.479282
[COMP] fluid_level_floodedness 252 0.503486
[COMP] fluid_level_floodedness 256 0.524752
[COMP] fluid_level_floodedness 260 0.542931
[COMP] fluid_level_floodedness 264 0.557913
[COMP] fluid_level_floodedness 268 0.569624
